transaction_id,sender_id,receiver_id,amount,transaction_type,timestamp,is_flagged,purpose
503e2fcf-66c,609cb38845ec,77c7be180ab0,3968.69,Cash Withdrawal,2021-12-05 04:51:28,False,Shopping
89855206-2d0,a982e69ec8a5,f2cfdc696fff,2467.22,UPI,2019-02-26 21:13:04,False,Food
04625905-e50,7a9fab56e614,ae02e903453a,2525.74,Cash Deposit,2023-02-25 09:49:25,False,Shopping
52381db7-955,e9c4f6f16afc,5fdd650490c6,1233.96,Wallet Load,2022-12-11 21:33:29,False,Transfer
5079f26f-6bb,9bb1aaa30150,0ec63db6c10b,3391.65,UPI,2020-02-02 13:34:59,False,Food
5d9d0d21-ee7,MERCHANT_1,MERCHANT_6,2848.55,Cash Withdrawal,2021-10-09 15:09:25,False,Shopping
690215a7-9d1,3f5752c5ed99,236286343476,3192.08,Cash Withdrawal,2019-10-19 09:45:07,False,Shopping
bd20855c-c2c,34eb7a6f4b35,f67b274ae0fb,4630.67,UPI,2023-06-14 12:25:36,False,Transfer
6941e683-327,bc1fdc48401d,fa6077aed0e8,574.2,Wallet Load,2020-12-24 16:00:54,False,Shopping
a1fc0313-73e,c9d5584ac282,2e63a1eded33,3122.41,Bank Transfer,2019-03-15 08:48:23,False,Food
201c17cc-22b,85797fe96031,146a725b2731,3032.06,Bank Transfer,2021-05-31 01:24:23,False,Transfer
398f601d-8b6,671b66c5e33f,f93e522174b9,2212.81,Wallet Load,2022-02-22 00:34:22,False,Transfer
11f0ddf8-130,9a8ed6d463aa,de719fcda1fb,3801.31,Wallet Load,2020-11-23 06:51:54,False,Shopping
a5c1d627-c0e,1ae82c76e5e8,c43eed3c5e5b,3936.7,UPI,2019-10-26 05:32:43,False,Shopping
b6fcdc57-162,MERCHANT_2,0c711bf51a6b,3775.84,UPI,2020-05-17 21:54:39,False,Food
d8ea2ba8-005,43eb7653f73a,59858e0c6d86,1997.97,Cash Deposit,2021-01-10 05:25:18,False,Shopping
95ad3bf1-a22,b396b020e97f,a59f3b23cb6a,3569.93,Cash Deposit,2020-08-14 11:04:44,False,Food
47f7470b-355,a5351c9fe8dc,ba3f64dbccf4,2731.51,Cash Deposit,2022-07-27 18:17:08,False,Food
bfe8c8ed-781,7a9fab56e614,66b5aad1d614,4441.38,UPI,2020-03-23 06:57:25,False,Transfer
ce82636e-2de,5195f7021165,9e28bca55a02,202.3,Wallet Load,2020-01-27 13:49:42,False,Shopping
ae2fb1c0-720,9669295bfbd0,29f65c454d11,2880.07,UPI,2021-08-18 17:12:04,False,Transfer
6db80bec-e57,588a8ec9d38f,29f65c454d11,4414.18,Cash Deposit,2022-02-01 00:42:58,False,Shopping
f7c1b037-a1d,ebf32ba34989,b3644a339a8e,1374.81,Cash Withdrawal,2020-02-10 22:53:09,False,Shopping
815394c5-8dd,57afe6b8f509,08765c69c148,3289.56,UPI,2020-04-09 19:09:25,False,Shopping
464e5c9a-bf3,b3644a339a8e,db2f023cd6fc,1121.9,UPI,2020-08-30 02:23:52,False,Transfer
ed7d0fff-7c6,084a6e9c8250,f699e8d49a4d,2734.91,Wallet Load,2021-04-13 06:50:31,False,Food
641778bc-d3f,e87b47d62fcc,6e0045aeba4a,1719.6,Cash Deposit,2021-11-19 20:47:42,False,Transfer
c4e236e4-992,169ab09ac63e,0b9793a2fd08,3659.05,Bank Transfer,2021-03-09 18:39:54,False,Food
5717325f-0ed,b396b020e97f,ba3f64dbccf4,716.78,Cash Withdrawal,2021-02-20 09:13:08,False,Food
b2199ba7-98f,ebf32ba34989,80ee2471487c,3066.54,Cash Withdrawal,2022-07-14 10:03:07,False,Shopping
dcdae251-3dd,db2f023cd6fc,ba3f64dbccf4,4730.73,Cash Withdrawal,2021-10-17 12:07:07,False,Food
46a1ef0a-9c0,628f801b366c,ec3b52c1090d,483.02,Cash Withdrawal,2022-12-22 03:34:09,False,Transfer
1310df54-fb8,f3fa7ae8ea71,06117bcdda6a,4379.75,Bank Transfer,2019-07-02 15:17:44,False,Shopping
d8fb4c05-f44,06117bcdda6a,85797fe96031,1105.9,Bank Transfer,2019-03-21 02:20:10,False,Food
bf686e9e-d8a,1ae82c76e5e8,MERCHANT_10,1056.35,Cash Withdrawal,2021-03-18 21:02:51,False,Food
87fd22a7-b01,cdebe60be117,ca61de612d96,3876.65,UPI,2023-09-07 10:33:33,False,Transfer
32fe8cf1-0b8,8415b5f8e5ca,66b5aad1d614,3164.78,UPI,2019-11-10 04:14:47,False,Transfer
26dd468f-831,17eecc3ed14d,be79aa6e0965,1635.31,Wallet Load,2021-02-15 20:05:34,False,Transfer
d5c4ba2e-1bb,db2f023cd6fc,a0944d967c1f,1284.07,Cash Deposit,2022-03-19 05:15:49,False,Food
9743f161-84b,cdd44b1d9770,80ee2471487c,1929.15,UPI,2020-05-21 12:43:15,False,Transfer
b834c8c6-51d,aae22e9a2bf9,MERCHANT_8,1775.94,UPI,2023-04-04 15:36:11,False,Food
9bc2a9a8-ae9,MERCHANT_15,e9c4f6f16afc,1580.08,UPI,2021-01-18 11:04:34,False,Transfer
28a65d3e-8c5,26baa6948649,ad771daa1c0c,2352.63,Cash Deposit,2021-02-04 18:56:56,False,Shopping
714721e6-c25,MERCHANT_2,ae02e903453a,3803.78,Bank Transfer,2021-02-07 16:37:02,False,Food
9dc566eb-20d,ec3b52c1090d,d7b475b6daac,2163.67,Bank Transfer,2023-05-20 19:11:52,False,Transfer
113ee571-969,859e7633cdd3,24772083dee3,1999.3,Bank Transfer,2022-03-22 09:16:45,False,Shopping
b433c08c-082,3ef4c5cdad2a,5195f7021165,700.86,Cash Deposit,2022-10-13 14:18:50,False,Shopping
3bd0bfac-344,MERCHANT_20,57afe6b8f509,4037.26,Cash Withdrawal,2022-01-20 06:10:24,False,Shopping
89156b24-f78,5f12d2d73ea4,ebf32ba34989,3308.67,Wallet Load,2021-09-15 11:46:58,False,Transfer
81c25a39-d04,5fdd650490c6,859e7633cdd3,1670.36,UPI,2020-09-14 04:33:16,False,Shopping
47cfbf20-50e,9bb1aaa30150,de719fcda1fb,1281.16,Cash Withdrawal,2021-03-06 19:16:59,False,Transfer
